店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
ラーメン 五九○ 三重町店,3.00,3,13,豚骨,大分県豊後大野市三重町小坂4109-16,豊後大野市,https://tabelog.com/oita/A4401/A440103/44013514/
久留米ラーメン 青龍軒,3.06,9,79,豚骨,大分県豊後高田市西真玉2336-1,豊後高田市,https://tabelog.com/oita/A4404/A440402/44011211/
やきとり番長,-,-,7,不明,大分県竹田市竹田町113,竹田市,https://tabelog.com/oita/A4401/A440102/44003834/
十五万石 挾間店,3.04,8,44,豚骨,大分県由布市挾間町挾間486-5,由布市,https://tabelog.com/oita/A4402/A440201/44008441/
めん六や 大分宇佐店,-,1,8,不明,大分県宇佐市大字芝原229-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44010073/
三国ラーメン,-,1,1,不明,大分県竹田市玉来918,竹田市,https://tabelog.com/oita/A4401/A440102/44013953/
ラーメンごくまる わさだ店,3.00,1,10,豚骨,大分県大分市玉沢755-1わさだタウン2街区2F/南通り3丁目,大分市,https://tabelog.com/oita/A4401/A440101/44014247/
美食八将,-,-,1,不明,大分県日田市三本松1-12-8,日田市,https://tabelog.com/oita/A4404/A440403/44010632/
麺屋 つつみ 日本文理大前店,3.04,7,48,不明,大分県大分市政所2102-1,大分市,https://tabelog.com/oita/A4401/A440101/44012223/
スリーセブン,3.01,4,39,不明,大分県大分市中鶴崎2-2-5,大分市,https://tabelog.com/oita/A4401/A440101/44009866/
光栄軒,3.06,7,1066,塩,大分県大分市角子原1005,大分市,https://tabelog.com/oita/A4401/A440101/44010125/
七福拉麺,3.01,3,63,不明,大分県豊後大野市三重町市場537,豊後大野市,https://tabelog.com/oita/A4401/A440103/44006104/
ごはんどき 中津店,-,1,18,不明,大分県中津市大字東浜897,中津市,https://tabelog.com/oita/A4404/A440401/44007244/
ぎゅう辛ラーメン,-,-,4,不明,大分県大分市皆春300ファミリーマート皆春店駐車場,大分市,https://tabelog.com/oita/A4401/A440101/44006848/
ラーメン とん太,3.01,3,18,味噌,大分県玖珠郡玖珠町塚脇326-11,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44013012/
コリーヌ,-,1,27,不明,大分県佐伯市直川上直見3757直川カントリー倶楽部,佐伯市,https://tabelog.com/oita/A4401/A440105/44002687/
さんちゃんラーメン,3.00,2,14,不明,大分県豊後大野市大野町田中240-1,豊後大野市,https://tabelog.com/oita/A4401/A440103/44009440/
中華麺食堂 縁,3.05,3,25,塩,大分県杵築市杵築665-546,杵築市,https://tabelog.com/oita/A4403/A440301/44013499/
もぐもぐ食堂,-,1,13,不明,大分県宇佐市四日市1462-1グルメ横丁,宇佐市,https://tabelog.com/oita/A4404/A440402/44011348/
慶馬屋,-,1,18,不明,大分県玖珠郡玖珠町帆足247,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44009808/
大分辛麺 くうかい,3.04,9,59,醤油,大分県宇佐市大字葛原455-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44013058/
